StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,No_or_YesBlock_1,Satisf_NA_1,stress_manageY_1,time_manageY_1,satis_with_communiY_1,aware_with_nanY,nan_grades_1,nan_overall_expY_1,suggest_new_nanY,input_for _new_nan,reson_on_lack,reson_on_lack_5_TEXT,is_nan_positive,satis_on_experience_1,satis_on_performance_1,aware_of_nan,if_change_yes_no,suggest_new_nan,age,gender,years_spent,local_or_inter,scl_dpt,major
2023-12-18 12:31:08,2023-12-18 12:31:44,Survey Preview,,100,35,True,2023-12-18 12:31:45,R_26FKcwUAZ9HwjTj,,,,,34.0663,-6.817,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-18 19:55:32,2023-12-18 19:57:53,IP Address,197.230.97.174,100,140,True,2023-12-18 19:57:54,R_1R6bieOUwMQbk1b,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,Yes,5,3,Yes,Yes,,21 to 24 years old,Male,Less than a year,Am an international student,ABS,MIM
2023-12-18 19:51:54,2023-12-18 19:58:20,IP Address,197.230.97.174,100,385,True,2023-12-18 19:58:20,R_8P6qRs60u7jiLH7,,,,,34.0663,-6.817,anonymous,EN,I agree,1,,,,,,,,,,Lack of awareness about available services,,Yes,7,6,Yes,Yes,"We are living at the campus so we have a life going on her in parallel of studies, so then non academic support helps lot.",17 to 20 years old,Female,a year,Am a local student,SCI,CI
2023-12-18 19:55:49,2023-12-18 19:58:51,IP Address,105.71.16.119,100,181,True,2023-12-18 19:58:51,R_2OmLBLPflReJxGV,,,,,28.5,-10,anonymous,EN,I agree,6,7,5,3,3,Yes,3,6,Yes,,,,,,,,,,17 to 20 years old,Female,Less than a year,Am a local student,FGSES,"POLITICAL SCIENCES COMMUN CORE "
2023-12-18 19:55:40,2023-12-18 19:59:02,IP Address,197.230.122.194,100,201,True,2023-12-18 19:59:02,R_29Y32gpzptc55fj,,,,,32.2403,-7.9543,anonymous,EN,I agree,2,,,,,,,,,,Personal preference,,No,3,6,Yes,Yes,,21 to 24 years old,Male,Tow years or more,Am a local student,Gv,Vv
2023-12-18 19:52:59,2023-12-18 20:01:26,IP Address,197.230.97.174,100,506,True,2023-12-18 20:01:26,R_4k84EiVsDSg5o0c,,,,,34.0663,-6.817,anonymous,EN,I agree,1,,,,,,,,,,Time constraints,,Yes,4,4,Yes,Yes,implementing personalized assistance based on individual needs could be beneficial,21 to 24 years old,Female,Less than a year,Am an international student,ABS,"MIM "
2023-12-18 19:59:05,2023-12-18 20:01:40,IP Address,197.230.97.174,100,155,True,2023-12-18 20:01:41,R_660VYlF10w3xXEZ,,,,,34.0663,-6.817,anonymous,EN,I agree,4,6,4,2,3,No,3,2,Yes,School band in rabat,,,,,,,,,25 years old and above,Male,Less than a year,Am an international student,ABS,Agribusiness
2023-12-18 20:00:53,2023-12-18 20:04:03,IP Address,197.230.97.174,100,190,True,2023-12-18 20:04:04,R_80HL084fnuVpq2w,,,,,34.0663,-6.817,anonymous,EN,I agree,3,,,,,,,,,,Time constraints,,Yes,6,5,No,No,,21 to 24 years old,Male,Less than a year,Am a local student,"Arts et métiers ",Industry
2023-12-18 20:03:24,2023-12-18 20:06:14,IP Address,105.66.133.220,100,170,True,2023-12-18 20:06:14,R_4tlKyLthMxhTUKc,,,,,33.5792,-7.6133,anonymous,EN,I agree,7,6,7,7,6,No,5,7,Yes,,,,,,,,,,21 to 24 years old,Male,Tow years or more,Am an international student,EMINES,"Industrial management "
2023-12-18 20:04:06,2023-12-18 20:06:45,IP Address,197.230.97.174,100,159,True,2023-12-18 20:06:45,R_2eE3yiJv9pHz0SR,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Personal preference,,No,6,6,Yes,Yes,"More engagements and advertisment ",25 years old and above,Male,Less than a year,Am an international student,SCI,Ci
2023-12-18 20:07:45,2023-12-18 20:09:51,IP Address,197.230.97.174,100,125,True,2023-12-18 20:09:52,R_42FzL2dHIwWynNT,,,,,34.0663,-6.817,anonymous,EN,I agree,6,7,4,3,5,No,2,5,Yes,,,,,,,,,,25 years old and above,Female,Less than a year,Am an international student,Sci,Ci
2023-12-18 20:13:39,2023-12-18 20:22:52,IP Address,197.230.97.174,100,553,True,2023-12-18 20:22:53,R_229Z4HkgskPvyKG,,,,,34.0663,-6.817,anonymous,EN,I agree,6,7,2,2,5,No,5,6,Yes,,,,,,,,,,17 to 20 years old,Female,a year,Am a local student,Fgses,IR
2023-12-18 20:23:35,2023-12-18 20:29:37,IP Address,197.230.97.174,100,362,True,2023-12-18 20:29:38,R_86xHQg03z0yJBF7,,,,,34.0663,-6.817,anonymous,EN,I agree,5,6,4,5,6,No,1,7,Yes,Clubs that focus on helping students to unwind,,,,,,,,,21 to 24 years old,Female,Less than a year,Am an international student,ABs,ABI
2023-12-18 20:31:26,2023-12-18 20:33:17,IP Address,197.230.97.174,100,110,True,2023-12-18 20:33:17,R_89wQJxAqOH3KvWp,,,,,34.0663,-6.817,anonymous,EN,I agree,4,5,5,3,2,No,3,3,No,,,,,,,,,,21 to 24 years old,Male,Less than a year,Am an international student,Sci,Ci
2023-12-18 20:31:27,2023-12-18 20:35:42,IP Address,197.230.97.174,100,254,True,2023-12-18 20:35:43,R_2sRo4Um8vyB33RK,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,Yes,6,6,No,Yes,"Providing adequate medicine in the health center to avoid going to the pharmacy to get them ",25 years old and above,Male,Less than a year,Am an international student,ABS,"Agricbusiness "
2023-12-18 20:25:47,2023-12-18 20:36:56,IP Address,197.230.97.174,100,669,True,2023-12-18 20:36:56,R_7IixYUQKjFpCZmV,,,,,34.0663,-6.817,anonymous,EN,I agree,6,5,6,3,2,Yes,1,6,Yes,"I think the thing that most students need is good communication with their academic advisors, and it's something the university lacks (talking from my personal experience). Academic advisors should be assigned to students not randomly, but based on the student's year and major. They should also have knowledge about the stuff they're doing, so yeah it shouldn't be random people saying random things to students",,,,,,,,,17 to 20 years old,Female,a year,Am a local student,Fgses,"Applied economics "
2023-12-18 20:34:56,2023-12-18 20:38:34,IP Address,197.230.97.174,100,217,True,2023-12-18 20:38:34,R_6VaLgekNK7OEhlD,,,,,34.0663,-6.817,anonymous,EN,I agree,7,7,7,7,7,Yes,7,6,Yes,"Provision guidance for Resident cards registration ",,,,,,,,,25 years old and above,Male,Less than a year,Am an international student,SCI,CI
2023-12-18 22:56:38,2023-12-18 23:03:47,IP Address,196.200.180.28,100,429,True,2023-12-18 23:03:48,R_2iOSwyodjESiLrf,,,,,32.2403,-7.9543,anonymous,EN,I agree,6,6,6,7,7,No,5,5,Yes,"Make the club like dance club and the choral have their own concert and periodic . ",,,,,,,,,21 to 24 years old,Male,Less than a year,Am an international student,ABS,QFM
2023-12-19 00:37:04,2023-12-19 00:46:43,IP Address,197.230.97.174,100,579,True,2023-12-19 00:46:44,R_7DUpqYJcfCbiv2b,,,,,34.0663,-6.817,anonymous,EN,I agree,4,6,4,5,6,No,3,5,Yes,clear communication of student support centres' activities and locations should be known to students occasionally,,,,,,,,,21 to 24 years old,Female,Less than a year,Am an international student,ABS,MIM
2023-12-19 01:23:24,2023-12-19 01:28:30,IP Address,197.230.97.174,100,306,True,2023-12-19 01:28:31,R_4mCSlQ30aWqRuX8,,,,,34.0663,-6.817,anonymous,EN,I agree,6,5,6,4,3,No,4,4,Yes,"A week Tourism for International students once in a semester. ",,,,,,,,,25 years old and above,Male,Less than a year,Am an international student,ABS,MIM
2023-12-19 11:12:25,2023-12-19 11:15:59,IP Address,197.230.97.174,100,214,True,2023-12-19 11:16:00,R_27stkNtqNAof4jf,,,,,34.0663,-6.817,anonymous,EN,I agree,5,4,5,5,5,Yes,5,5,Yes,"Separate gym and swimming pool by gender, many girls can't participate. Also career support in Rabat please.",,,,,,,,,25 years old and above,Prefer not to say,Less than a year,Am a local student,ABS,.
2023-12-19 17:35:30,2023-12-19 17:37:49,IP Address,197.230.97.174,100,138,True,2023-12-19 17:37:50,R_7HTwaT8XlChltd8,,,,,34.0663,-6.817,anonymous,EN,I agree,6,5,6,2,3,Yes,3,6,Yes,"Better academic advisor experience ",,,,,,,,,17 to 20 years old,Female,a year,Am a local student,Fgses,"Applied economics "
2023-12-19 18:22:42,2023-12-19 18:26:30,IP Address,197.230.97.174,100,227,True,2023-12-19 18:26:31,R_7ylRxrnbq7nkx2P,,,,,34.0663,-6.817,anonymous,EN,I agree,1,,,,,,,,,,Time constraints,,Yes,4,3,Yes,Yes,"Non-academics support services should be an extracurriculars activities inside the normal timetable, which helps improve the work balance of students, because the timetable is making it difficult to have non academic activities.",25 years old and above,Male,Less than a year,Am an international student,SCI,CI
2023-12-19 19:54:25,2023-12-19 20:02:44,IP Address,197.230.97.174,100,499,True,2023-12-19 20:02:45,R_2mfpd8np2qtoSHO,,,,,34.0663,-6.817,anonymous,EN,I agree,7,5,5,4,5,No,5,6,Yes,Orientation and school contents session by each school for its students. Provide a complete calendar for a year or t least a semester at a very beginning.,,,,,,,,,25 years old and above,Male,Less than a year,Am an international student,ABS,CI
2023-12-19 21:03:59,2023-12-19 21:08:42,IP Address,197.230.97.174,100,282,True,2023-12-19 21:08:42,R_2iEZjLHn6W3ugdr,,,,,34.0663,-6.817,anonymous,EN,I agree,6,2,2,6,5,No,5,3,Yes,"Mentorship ",,,,,,,,,25 years old and above,Male,a year,Am an international student,Sci,"Political science "
2023-12-20 19:44:47,2023-12-20 19:47:34,IP Address,197.230.97.174,100,166,True,2023-12-20 19:47:34,R_5oZcw7F5N3bEjEt,,,,,34.0663,-6.817,anonymous,EN,I agree,4,6,5,7,5,No,3,6,Yes,Yoga classes,,,,,,,,,17 to 20 years old,Female,Less than a year,Am a local student,Fgses,Common core
2023-12-20 19:44:47,2023-12-20 19:48:23,IP Address,197.230.97.174,100,216,True,2023-12-20 19:48:24,R_1eVSU0YBmCqAaZy,,,,,34.0663,-6.817,anonymous,EN,I agree,6,4,6,6,6,No,7,6,Yes,Concert,,,,,,,,,17 to 20 years old,Male,Less than a year,Am a local student,Fgses,Undergraduate
2023-12-20 19:46:43,2023-12-20 19:48:59,IP Address,197.230.97.174,100,136,True,2023-12-20 19:48:59,R_2eQ88sDni8buUNw,,,,,34.0663,-6.817,anonymous,EN,I agree,6,6,4,4,6,No,3,6,Yes,"!!",,,,,,,,,21 to 24 years old,Female,Less than a year,Am an international student,ABS,MIM
2023-12-20 19:44:55,2023-12-20 19:49:11,IP Address,197.230.97.174,100,255,True,2023-12-20 19:49:11,R_5dxVOdmZTHcgfcx,,,,,34.0663,-6.817,anonymous,EN,I agree,5,5,7,5,3,No,7,5,Yes,"CONCERT , TRIPS !!!!!!!",,,,,,,,,17 to 20 years old,Female,Less than a year,Am a local student,Fgses,Common core
2023-12-20 19:44:45,2023-12-20 19:49:40,IP Address,197.230.97.174,100,295,True,2023-12-20 19:49:41,R_6Pd1m3yG8mfMfh0,,,,,34.0663,-6.817,anonymous,EN,I agree,5,6,5,5,6,Yes,1,6,Yes,"Events organized frequently such as concerts, worldwide trips… ",,,,,,,,,17 to 20 years old,Female,a year,Am a local student,FGSES,"Common core "
2023-12-20 19:49:48,2023-12-20 19:52:32,IP Address,197.230.97.174,100,163,True,2023-12-20 19:52:33,R_2Pvl05XpuGxRDfE,,,,,34.0663,-6.817,anonymous,EN,I agree,5,3,4,3,5,Yes,3,5,Yes,Parties / less exams,,,,,,,,,17 to 20 years old,Male,Tow years or more,Am a local student,Fgses,"International relations "
2023-12-20 19:49:55,2023-12-20 19:53:07,IP Address,197.230.97.174,100,191,True,2023-12-20 19:53:07,R_2TMFgErzh9eNhv2,,,,,34.0663,-6.817,anonymous,EN,I agree,4,4,2,5,5,Yes,2,5,Yes,"More parties ",,,,,,,,,17 to 20 years old,Female,Less than a year,Am a local student,FGSES,"Common year "
2023-12-20 19:49:36,2023-12-20 19:55:48,IP Address,197.230.97.174,100,372,True,2023-12-20 19:55:48,R_2rPioKAz7OZWi1N,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,Yes,5,5,Yes,Yes,,21 to 24 years old,Female,Less than a year,Am an international student,Fgses,Economy
2023-12-20 19:51:05,2023-12-20 19:58:59,IP Address,197.230.97.174,100,473,True,2023-12-20 19:58:59,R_7YmKo6m5MI8nzDY,,,,,34.0663,-6.817,anonymous,EN,I agree,4,5,5,3,4,No,5,6,Yes,"Bootcamps , games days , more communication and advertisements for the existing ones , specially career advisory and internship programming and partnerships, have events that should be organised By master students on thematiques related to the courses , and invite people from the domains of practise to engage with them and do séminaire to network ",,,,,,,,,21 to 24 years old,Female,Less than a year,Am a local student,Fgses,"IR "
2023-12-20 19:51:32,2023-12-20 19:59:38,IP Address,197.230.97.174,100,486,True,2023-12-20 19:59:39,R_7wvKw7ADvT4LosS,,,,,34.0663,-6.817,anonymous,EN,I agree,4,4,1,3,2,No,5,7,Yes,"More interactive activities with students from different schools of Um6p that will  bring in our contributions/more animated library related activities/ more advertisement about the events that each school holds, more fun activities such as karaoke nights, parties for a more animated student life. Introduce psychological support among the services offered by the health servicr e",,,,,,,,,21 to 24 years old,Female,Tow years or more,Am a local student,Fgses,IR
2023-12-20 19:51:02,2023-12-20 20:00:53,IP Address,197.230.97.174,100,590,True,2023-12-20 20:00:53,R_7LU3j1vdqTOZHBw,,,,,34.0663,-6.817,anonymous,EN,I agree,4,2,1,5,1,No,1,3,Yes,"A better student life: more activities aimed at entertainment like talent shows, parties, raise fundings for associations, table rondes on different topics, sharing experiences, psychological support among students maybe also a psychologist on campus especially during exams week. I also feel like the publicity for activities on campus is not very good ",,,,,,,,,17 to 20 years old,Female,Tow years or more,Am a local student,"FGSES ",International relations
2023-12-20 19:59:35,2023-12-20 20:02:27,IP Address,197.230.97.174,100,171,True,2023-12-20 20:02:28,R_6txMwOJpeAD1PUg,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Lack of awareness about available services,,Yes,2,2,No,Yes,,21 to 24 years old,Male,Tow years or more,Am a local student,FGSES,ECO APP
2023-12-20 20:01:25,2023-12-20 20:03:21,IP Address,217.138.218.10,100,115,True,2023-12-20 20:03:21,R_2t5ptPBNRcNOryC,,,,,40.4327,-3.621,anonymous,EN,I agree,5,6,5,3,4,Yes,5,5,Yes,,,,,,,,,,17 to 20 years old,Male,a year,Am a local student,FGSES,Economie appliquée
2023-12-20 19:48:44,2023-12-20 20:03:49,IP Address,82.145.210.146,100,905,True,2023-12-20 20:03:49,R_6flTKLQ0Yowt9Rh,,,,,47.0014,7.9994,anonymous,EN,I agree,6,6,7,1,4,Yes,4,6,Yes,"Qualifie professional event managers (EM) that constantly study then diversify events. EM's that know what's trending, that already predict what's going to attract students' attention. Hint : the Independence day, soccer events and FGSES' got talent attracted a interactive audience. Overall, tendancies must be detected, by surveying or observing.",,,,,,,,,17 to 20 years old,Male,Less than a year,Am a local student,FGSES,Undergraduate Year
2023-12-20 20:01:06,2023-12-20 20:04:32,IP Address,105.71.17.85,100,206,True,2023-12-20 20:04:33,R_8TLGbCZMxwSOv0Y,,,,,28.5,-10,anonymous,EN,I agree,7,6,5,5,5,Yes,3,5,Yes,,,,,,,,,,17 to 20 years old,Female,Tow years or more,Am a local student,FGSES,Behavioural science for public policy
2023-12-20 19:59:32,2023-12-20 20:05:34,IP Address,197.230.97.174,100,362,True,2023-12-20 20:05:34,R_29cvXjNSVwVXhhD,,,,,34.0663,-6.817,anonymous,EN,I agree,4,5,5,2,3,No,4,5,Yes,"Des clubs qui n'ont rien avoir avec les etudes ",,,,,,,,,17 to 20 years old,Female,Less than a year,Am a local student,Fgses,Commun year
2023-12-20 20:01:40,2023-12-20 20:07:09,IP Address,197.230.97.174,100,328,True,2023-12-20 20:07:10,R_7d76M9HhFYTp0GU,,,,,34.0663,-6.817,anonymous,EN,I agree,4,4,2,2,5,Yes,2,5,Yes,I hope that these activities are happening where we don’t have exams,,,,,,,,,17 to 20 years old,Female,a year,Am a local student,Fgses,Applied economics
2023-12-20 19:58:01,2023-12-20 20:10:15,IP Address,197.230.97.174,100,733,True,2023-12-20 20:10:15,R_6H5beqUMFpyTG2A,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,No,7,7,Yes,No,,21 to 24 years old,Female,Tow years or more,Am a local student,Fgses,"Political science "
2023-12-20 19:49:25,2023-12-20 20:16:16,IP Address,197.230.97.174,100,1611,True,2023-12-20 20:16:16,R_3Epi4d63aOh2n1j,,,,,34.0663,-6.817,anonymous,EN,I agree,1,,,,,,,,,,Time constraints,,Yes,4,4,Yes,Yes,"I would suggest a few things. First, I would suggest more flexible and individualized support services.In addition, I would suggest more awareness and education about the available support services, so that students are aware of the options available to them. Finally, I would suggest more open and honest communication between students and support staff, so that students feel comfortable accessing the support they need.",25 years old and above,Female,Less than a year,Am an international student,ABS,MIM
2023-12-20 19:53:15,2023-12-20 20:33:24,IP Address,197.230.97.174,100,2409,True,2023-12-20 20:33:25,R_60nNQk0PIEzBNxT,,,,,34.0663,-6.817,anonymous,EN,I agree,1,,,,,,,,,,Time constraints,,Yes,2,1,Yes,Yes,"I really don't know. ",21 to 24 years old,Female,Less than a year,Am an international student,"FGSES ","Economic Analysis and Public Policies "
2023-12-18 19:51:42,2023-12-21 15:54:22,IP Address,197.230.97.174,100,244960,True,2023-12-21 15:54:23,R_8cCNqCkBoukr7eV,,,,,34.0663,-6.817,anonymous,EN,I agree,6,5,6,6,6,Yes,5,7,Yes,,,,,,,,,,21 to 24 years old,Male,Tow years or more,Am a local student,SCi,Ci
2023-12-21 20:26:47,2023-12-21 20:30:01,IP Address,41.92.17.245,100,194,True,2023-12-21 20:30:02,R_8EZ0N13JK7wMqPj,,,,,33.5792,-7.6133,anonymous,EN,I agree,6,7,6,6,5,Yes,6,6,Yes,,,,,,,,,,17 to 20 years old,Male,a year,Am a local student,Fgses,Political science
2023-12-21 20:32:42,2023-12-21 20:36:55,IP Address,105.131.236.163,100,252,True,2023-12-21 20:36:56,R_3C3Eco38U6p5LSm,,,,,34.0663,-6.817,anonymous,EN,I agree,5,4,4,3,5,No,1,5,Yes,,,,,,,,,,25 years old and above,Female,Less than a year,Am a local student,FGSES,POLI SCIENCE AND GLOBAL AFFAIRS
2023-12-21 20:32:38,2023-12-21 20:38:06,IP Address,105.66.135.13,100,327,True,2023-12-21 20:38:07,R_3rVK55raTiVnqSl,,,,,33.5792,-7.6133,anonymous,EN,I agree,6,5,5,1,3,Yes,4,5,Yes,,,,,,,,,,25 years old and above,Female,Tow years or more,Am a local student,AIRESS,Political Sciences
2023-12-21 20:32:05,2023-12-21 20:38:50,IP Address,197.230.97.174,100,404,True,2023-12-21 20:38:50,R_34q6ryYXkL4qIGT,,,,,34.0663,-6.817,anonymous,EN,I agree,5,6,5,3,3,No,4,5,Yes,,,,,,,,,,21 to 24 years old,Male,Less than a year,Am a local student,Ai movement,AI
2023-12-21 20:38:29,2023-12-21 20:40:18,IP Address,197.230.97.174,100,109,True,2023-12-21 20:40:19,R_6gUzGcBcpsebEZq,,,,,34.0663,-6.817,anonymous,EN,I agree,6,7,6,6,6,No,5,6,Yes,,,,,,,,,,17 to 20 years old,Male,Less than a year,Am a local student,ABS,MIM
2023-12-21 20:39:54,2023-12-21 20:43:39,IP Address,105.67.132.164,100,225,True,2023-12-21 20:43:40,R_1jYyreEUkJEmIj7,,,,,31.6298,-8.0101,anonymous,EN,I agree,6,6,6,4,6,Yes,5,6,Yes,,,,,,,,,,21 to 24 years old,Female,Tow years or more,Am a local student,FGSES,IR
2023-12-21 20:40:48,2023-12-21 20:43:50,IP Address,197.230.97.174,100,181,True,2023-12-21 20:43:50,R_2jxJzDezvSotBA9,,,,,34.0663,-6.817,anonymous,EN,I agree,4,5,5,3,3,Yes,4,4,Yes,,,,,,,,,,21 to 24 years old,Female,Tow years or more,Am a local student,FGSES,"International Relations "
2023-12-21 20:47:11,2023-12-21 20:49:19,IP Address,197.230.97.174,100,127,True,2023-12-21 20:49:19,R_1g62ahUSnVROD2T,,,,,34.0663,-6.817,anonymous,EN,I agree,5,6,3,4,5,No,2,3,No,,,,,,,,,,21 to 24 years old,Female,Less than a year,Am an international student,Fgses,"Ci "
2023-12-21 20:36:32,2023-12-21 21:07:06,IP Address,196.95.40.51,100,1833,True,2023-12-21 21:07:07,R_6jUlKQ2OCXmAOxu,,,,,33.5792,-7.6133,anonymous,EN,I agree,2,,,,,,,,,,Personal preference,,Yes,5,5,Yes,Yes,"Clear communication of information ",17 to 20 years old,Female,Tow years or more,Am a local student,Fgses,"Behavioral sciences "
2023-12-21 20:48:32,2023-12-21 21:50:10,IP Address,197.230.97.174,100,3698,True,2023-12-21 21:50:10,R_3fvLChm770RvpbG,,,,,34.0663,-6.817,anonymous,EN,I agree,6,7,5,5,3,No,4,5,Yes,,,,,,,,,,21 to 24 years old,Female,Less than a year,Am an international student,"FGSES ","Political science "
2023-12-22 00:01:23,2023-12-22 00:04:35,IP Address,197.230.97.174,100,191,True,2023-12-22 00:04:35,R_6H5lJU0C0T9CYHf,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,Yes,3,3,No,Yes,,17 to 20 years old,Female,Less than a year,Am a local student,Fgses,Common core
2023-12-22 12:55:39,2023-12-22 12:59:45,IP Address,197.230.97.174,100,245,True,2023-12-22 12:59:45,R_510ykWjrwOXwJVZ,,,,,34.0663,-6.817,anonymous,EN,I agree,2,,,,,,,,,,Time constraints,,Yes,1,2,No,Yes,"better counseling ",17 to 20 years old,Female,Tow years or more,Am a local student,FGSES,Applied Econ
